WorkerId	DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Discourse.MetLit	word1	word2	word3	word4	word5
w1	d614	view represent	view reflect	met	met	regard	however	offered	can	be
w2	d614	view represent	view reflect	met	met	not	however	offered	need	wide
w3	d614	view represent	view reflect	met	lit	volunteering	responses	questions	professionals	skills
w4	d614	view represent	view reflect	met	lit	incentive	disincentive	volunteers	promoting	supporting
w5	d614	view represent	view reflect	met	lit	ncvo	remit	consultation	professional	issue
w6	d614	view represent	view reflect	met	lit	promoting	volunteering	skills	roles	volunteers
w7	d614	view represent	view reflect	met	lit	ncvo	vcos	volunteers	professional	questions
w8	d614	view represent	view reflect	met	lit	whether	we	target	need	gain
w9	d614	view represent	view reflect	met	lit	remit	regard	consultation	targeting	incentive
w10	d614	view represent	view reflect	met	lit	volunteering	promoting	important	issue	people
w11	d257	corrupt mind	poison mind	lit	lit	alice	concerned	delegation	instilling	fearsome
w12	d257	corrupt mind	poison mind	lit	lit	concerned	influence	task	people	potentially
w1	d257	corrupt mind	poison mind	lit	lit	harder	in	fully	young	over
w2	d257	corrupt mind	poison mind	lit	lit	concerned	fearsom	made	not	express
w13	d257	corrupt mind	poison mind	lit	lit	influence	bbc	ancient	culture	actor
w14	d257	corrupt mind	poison mind	lit	met	accept	ancient	immaculate	vulnerable	fearsome
w15	d257	corrupt mind	poison mind	lit	lit	influence	vulnerable	values	culture	express
w16	d257	corrupt mind	poison mind	lit	lit	delegation	influence	values	culture	views
w17	d257	corrupt mind	poison mind	lit	lit	influence	concerned	fearsome	however	exert
w18	d257	corrupt mind	poison mind	lit	met	influence	fearsome	concern	probably	however
w1	d668	practise profession	follow profession	lit	lit	the	fore	new	doctor	pledge
w19	d668	practise profession	follow profession	lit	lit	eventual	rediscovery	consciousness	christians	declaration
w3	d668	practise profession	follow profession	lit	lit	world	war	world	medical	association
w20	d668	practise profession	follow profession	lit	lit	ethical	declaration	pledge	solemnly	christians
w15	d668	practise profession	follow profession	lit	lit	horror	rediscovery	immoral	consciousness	consecrate
w5	d668	practise profession	follow profession	lit	met	immoral	ethical	consciousness	romans	christians
w21	d668	practise profession	follow profession	lit	lit	war	rediscovery	natural	law	ethics
w22	d668	practise profession	follow profession	lit	lit	war	christians	ethics	medical	association
w23	d668	practise profession	follow profession	lit	lit	however	argyments	hinted	fore	second
w18	d668	practise profession	follow profession	lit	lit	hoewever	natural	immoral	rights	pledge
w24	d714	factor affect	factor shape	lit	lit	according	theorists	programs	studies	revealed
w1	d714	factor affect	factor shape	lit	lit	between	in	olson	learning	clearly
w25	d714	factor affect	factor shape	lit	lit	dependant	examples	programme	studies	rates
w26	d714	factor affect	factor shape	lit	lit	interfered	use	studies	constructivist	learning
w3	d714	factor affect	factor shape	lit	lit	socio-economic	political	programme	studies	literacy
w14	d714	factor affect	factor shape	lit	lit	theorists	revealed	indicate	political	obvious
w15	d714	factor affect	factor shape	lit	lit	theorists	opoposed	studies	constructivist	socio-economic
w27	d714	factor affect	factor shape	lit	lit	theorists	literacy	studies	rates	results
w28	d714	factor affect	factor shape	lit	lit	phenomenon	according	theorists	instruction	opposed
w29	d714	factor affect	factor shape	lit	lit	phenomenon	theorists	programmes	studies	excellent results
w11	d67	determine result	shape result	met	lit	meaningful	gathering	subjected	violence	employement
w1	d67	determine result	shape result	met	lit	low	jobs	and	children	most
w30	d67	determine result	shape result	met	lit	women	children	suffer	wars	political
w31	d67	determine result	shape result	met	lit	violence	employment	conflicts	subjected	contraints
w32	d67	determine result	shape result	met	lit	subjected	violence	relatively	suffer	constraints
w3	d67	determine result	shape result	met	lit	domestic	violence	employment	political	war
w27	d67	determine result	shape result	met	lit	in	have	are	still	doing
w33	d67	determine result	shape result	met	lit	africa	eight	hours	firewood	women
w16	d67	determine result	shape result	met	lit	africa	meaningful	domestic	violence	employment
w34	d67	determine result	shape result	met	lit	women	result	domestic	political	ethnic
w24	d925	instill doubt	sow doubt	met	lit	is	inspired	dependable	cannot	be
w35	d925	instill doubt	sow doubt	met	met	bible	god	inspired	devil	stories
w1	d925	instill doubt	sow doubt	met	met	that	word	is	inerrant	and
w3	d925	instill doubt	sow doubt	met	met	inspired	word	of	god	bible
w36	d925	instill doubt	sow doubt	met	lit	word	god	bible	dependable	devil
w37	d925	instill doubt	sow doubt	met	met	bible	stories	god	word	devil
w38	d925	instill doubt	sow doubt	met	lit	is	not	cannot	inerrant	wholly
w39	d925	instill doubt	sow doubt	met	met	bible	word	inerrant	inspired	dependable
w18	d925	instill doubt	sow doubt	met	lit	collection	facts	word	of	god
w40	d925	instill doubt	sow doubt	met	met	not	is	god	inerrant	inspired
w1	d291	painting represent	painting capture	lit	lit	history	was	rebuilt	now	part
w30	d291	painting represent	painting capture	lit	lit	consecrated	historic	decoration	rebuilt	incomplete
w41	d291	painting represent	painting capture	lit	lit	consecrated	historic	rebuilt	design	difficulties
w3	d291	painting represent	painting capture	lit	lit	paintings	historic	chamber	conditions	decoration
w36	d291	painting represent	painting capture	lit	lit	place	rebuilt	panels	windows	paintings
w42	d291	painting represent	painting capture	lit	met	consecrated	history	hail	worthy	scheme
w43	d291	painting represent	painting capture	lit	met	consecrated	history	imagination	design	decoration
w44	d291	painting represent	painting capture	lit	met	as	we	now	see	it
w22	d291	painting represent	painting capture	lit	lit	consecrated	historic	chamber	conditions	decorations
w45	d291	painting represent	painting capture	lit	met	consecrated	imagination	see	worthy	fulfill
w24	d182	invest money	pour money	lit	lit	comes	from	given	encourage	follow
w1	d182	invest money	pour money	lit	met	from	remoteness	wait	until	dead
w19	d182	invest money	pour money	lit	met	thinks	huddle	mountains	bootstraps	roots
w13	d182	invest money	pour money	lit	met	ethos	bootstraps	foundation	wealth creator	dead
w3	d182	invest money	pour money	lit	met	pull	by bootstraps	legacy	chilly	ethos
w14	d182	invest money	pour money	lit	lit	geographical	ethos	encourage	model	business
w46	d182	invest money	pour money	lit	met	ethos	chilly	bootstraps	creator	legacy
w38	d182	invest money	pour money	lit	met	bootstraps	roots	foundation	huddle	legacy
w47	d182	invest money	pour money	lit	lit	thinks	from	follow	example	business
w48	d182	invest money	pour money	lit	met	thinks	ethos	remoteness	foundation	encourage
w1	d746	cause doubt	cast doubt	lit	lit	give	push	dragon	you	borrow
w49	d746	cause doubt	cast doubt	lit	met	energy	dragon	outer	world	empowerment
w50	d746	cause doubt	cast doubt	lit	met	think	energy	dragon	outer	empowerment
w51	d746	cause doubt	cast doubt	lit	met	energy	outter	world	empowerment	dragon
w3	d746	cause doubt	cast doubt	lit	met	dragon	energy	empowerment	unexhaustible	does
w52	d746	cause doubt	cast doubt	lit	met	think	borrow	careful	dragon	empowerment
w9	d746	cause doubt	cast doubt	lit	met	energy	inexhaustible	push	dragon	empowerment
w53	d746	cause doubt	cast doubt	lit	met	inexhaustible	energy	empowerment	borrow	careful
w54	d746	cause doubt	cast doubt	lit	met	think?	?	careful	empower	?
w48	d746	cause doubt	cast doubt	lit	met	you	think	energy	push	dragon
w1	d807	believe story	buy story	lit	lit	police	will	dump	have	she
w30	d807	believe story	buy story	lit	met	lilian	plagues	jill	with	company
w55	d807	believe story	buy story	lit	met	loose	end	plagues	taboo	dump
w2	d807	believe story	buy story	lit	lit	loose	away	baking	finished	planning
w3	d807	believe story	buy story	lit	met	taboo	plagues	dump	remembers	impressed
w36	d807	believe story	buy story	lit	lit	baking	smoking	house	london	radio
w14	d807	believe story	buy story	lit	lit	planning	flow	suddenly	impressed	baking
w16	d807	believe story	buy story	lit	lit	company	baking	smoking	police	radio
w7	d807	believe story	buy story	lit	met	loose	plagues	flow	dump	jottings
w47	d807	believe story	buy story	lit	lit	town	dump	london	planning	radio
w35	d941	story intrigue	story grab	lit	met	scarecrow	boy	servant	funny	animals
w1	d941	story intrigue	story grab	lit	lit	boys	is	it	about	who
w41	d941	story intrigue	story grab	lit	lit	recommend	interested	animals	war	title
w3	d941	story intrigue	story grab	lit	lit	recommend	philip	pullman	employs	title
w42	d941	story intrigue	story grab	lit	met	recomend	stories	about	scarecrow	title
w27	d941	story intrigue	story grab	lit	lit	would	recommend	what	about	hence
w6	d941	story intrigue	story grab	lit	lit	animals	boys	girls	war	stories
w7	d941	story intrigue	story grab	lit	lit	recommend	interested	animals	philp	pullman
w56	d941	story intrigue	story grab	lit	lit	war	philp pullman	scarecrow	animals	funny
w9	d941	story intrigue	story grab	lit	lit	recommend	employs	tries	servant	title
w24	d350	invest money	pour money	met	lit	was	interested	expecting	endowments	religions
w1	d350	invest money	pour money	met	lit	whose	so	much	during	sport
w13	d350	invest money	pour money	met	lit	interested	expecting	friendship	triumphs	solemnity
w3	d350	invest money	pour money	met	lit	tours	interested	distinguished	evening	detective
w43	d350	invest money	pour money	met	met	colossal	crushing	endowments	sport	solemnity
w7	d350	invest money	pour money	met	met	great	detective	tours	small	religions
w8	d350	invest money	pour money	met	met	expecting	special	reason	worldwide	fame
w9	d350	invest money	pour money	met	met	old	colossal	crushing	endowments	sport
w57	d350	invest money	pour money	met	met	distinguished	valentin	millionaire	mormon	religions
w34	d350	invest money	pour money	met	lit	expecting	interested	evening	papers	religions
w1	d678	war displace	war uproot	met	lit	few	obtain	for	example	were
w51	d678	war displace	war uproot	met	lit	obtain	prospects	europe	discrimination	employment
w3	d678	war displace	war uproot	met	lit	prejudice	discrimination	facts	engineering	vocational
w5	d678	war displace	war uproot	met	lit	jewish	patterns	reality	engineering	degrees
w58	d678	war displace	war uproot	met	met	reflected	example	compared	some	most
w16	d678	war displace	war uproot	met	lit	vocational	reality	engineering	discrimination	prejudice
w8	d678	war displace	war uproot	met	lit	vocational	prospects	american	europe	name
w59	d678	war displace	war uproot	met	lit	degrees	employment	names	chance	increase
w9	d678	war displace	war uproot	met	lit	vocational	reality	obtain	prospects	prejudice
w47	d678	war displace	war uproot	met	lit	jewish	vocational	predjudice	violent	antisemitism
w24	d507	cause doubt	cast doubt	lit	lit	access	information	budgets	taken	brainwashing
w1	d507	cause doubt	cast doubt	lit	lit	control	from	full	would	seem
w60	d507	cause doubt	cast doubt	lit	lit	controll	access	media	exposure	sidelined
w19	d507	cause doubt	cast doubt	lit	lit	information	power	control	media	evolutionary
w3	d507	cause doubt	cast doubt	lit	lit	internet	bbc	evolution	creation	exposure
w42	d507	cause doubt	cast doubt	lit	lit	access	controlled	power	budgets	exposure
w61	d507	cause doubt	cast doubt	lit	met	controlled	promote	evolutionary	compete	sidelined
