WorkerId	DiscourseId	Input.Expression.Lit	Input.Expression.Met	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit
w1	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w2	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w3	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w4	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	met
w5	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w6	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w7	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w8	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	met
w9	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w10	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	met
w11	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	met
w12	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w13	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	met
w14	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w15	d494	recalling the feeling	recapturing the feeling	recall feeling	recapture feeling	lit	lit
w10	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w5	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w16	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w7	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w9	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w12	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w6	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w1	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w3	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w13	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w4	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w11	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w14	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	met
w15	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w2	d32	understand the inner meaning	grasp the inner meaning	understand meaning	grasp meaning	met	lit
w5	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	lit
w11	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w17	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	lit
w15	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w4	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w6	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	lit
w2	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w1	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	lit
w14	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w10	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w8	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w13	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w3	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
w12	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	lit
w9	d967	forget our troubles	drown our troubles	forget trouble	drown trouble	met	met
