WorkerId	DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Category.MetLit
w1	d1	experience freedom	taste freedom	met	5
w2	d1	experience freedom	taste freedom	met	6
w3	d1	experience freedom	taste freedom	met	5
w4	d1	experience freedom	taste freedom	met	5
w5	d1	experience freedom	taste freedom	met	4
w6	d1	experience freedom	taste freedom	met	3
w7	d1	experience freedom	taste freedom	met	3
w8	d1	experience freedom	taste freedom	met	4
w9	d1	experience freedom	taste freedom	met	5
w10	d1	experience freedom	taste freedom	met	5
w11	d1	experience freedom	taste freedom	met	3
w12	d1	experience freedom	taste freedom	met	6
w13	d1	experience freedom	taste freedom	met	4
w14	d1	experience freedom	taste freedom	met	1
w15	d1	experience freedom	taste freedom	met	3
w12	d2	story intrigue	story grab	met	2
w9	d2	story intrigue	story grab	met	3
w14	d2	story intrigue	story grab	met	2
w15	d2	story intrigue	story grab	met	4
w10	d2	story intrigue	story grab	met	5
w8	d2	story intrigue	story grab	met	3
w13	d2	story intrigue	story grab	met	4
w6	d2	story intrigue	story grab	met	5
w1	d2	story intrigue	story grab	met	5
w4	d2	story intrigue	story grab	met	3
w11	d2	story intrigue	story grab	met	1
w16	d2	story intrigue	story grab	met	4
w5	d2	story intrigue	story grab	met	3
w2	d2	story intrigue	story grab	met	5
w7	d2	story intrigue	story grab	met	2
w9	d3	make remark	throw remark	lit	5
w12	d3	make remark	throw remark	lit	1
w5	d3	make remark	throw remark	lit	1
w16	d3	make remark	throw remark	lit	6
w11	d3	make remark	throw remark	lit	1
w14	d3	make remark	throw remark	lit	1
w7	d3	make remark	throw remark	lit	2
w8	d3	make remark	throw remark	lit	1
w15	d3	make remark	throw remark	lit	2
w1	d3	make remark	throw remark	lit	6
w4	d3	make remark	throw remark	lit	3
w17	d3	make remark	throw remark	lit	6
w6	d3	make remark	throw remark	lit	2
w13	d3	make remark	throw remark	lit	1
w10	d3	make remark	throw remark	lit	3
w3	d4	decrease appetite	dull appetite	lit	1
w7	d4	decrease appetite	dull appetite	lit	1
w2	d4	decrease appetite	dull appetite	lit	4
w13	d4	decrease appetite	dull appetite	lit	1
w12	d4	decrease appetite	dull appetite	lit	4
w6	d4	decrease appetite	dull appetite	lit	1
w15	d4	decrease appetite	dull appetite	lit	4
w8	d4	decrease appetite	dull appetite	lit	1
w4	d4	decrease appetite	dull appetite	lit	4
w1	d4	decrease appetite	dull appetite	lit	3
w9	d4	decrease appetite	dull appetite	lit	1
w5	d4	decrease appetite	dull appetite	lit	1
w14	d4	decrease appetite	dull appetite	lit	1
w10	d4	decrease appetite	dull appetite	lit	5
w11	d4	decrease appetite	dull appetite	lit	1
w16	d5	stimulate debate	fuel debate	lit	2
w1	d5	stimulate debate	fuel debate	lit	3
w12	d5	stimulate debate	fuel debate	lit	5
w5	d5	stimulate debate	fuel debate	lit	1
w2	d5	stimulate debate	fuel debate	lit	5
w9	d5	stimulate debate	fuel debate	lit	5
w13	d5	stimulate debate	fuel debate	lit	3
w15	d5	stimulate debate	fuel debate	lit	5
w8	d5	stimulate debate	fuel debate	lit	4
w10	d5	stimulate debate	fuel debate	lit	5
w4	d5	stimulate debate	fuel debate	lit	3
w14	d5	stimulate debate	fuel debate	lit	5
w11	d5	stimulate debate	fuel debate	lit	3
w6	d5	stimulate debate	fuel debate	lit	2
w7	d5	stimulate debate	fuel debate	lit	5
w15	d6	reject past	disown past	met	4
w11	d6	reject past	disown past	met	6
w16	d6	reject past	disown past	met	3
w9	d6	reject past	disown past	met	5
w8	d6	reject past	disown past	met	6
w12	d6	reject past	disown past	met	6
w5	d6	reject past	disown past	met	5
w1	d6	reject past	disown past	met	3
w10	d6	reject past	disown past	met	5
w14	d6	reject past	disown past	met	6
w6	d6	reject past	disown past	met	4
w13	d6	reject past	disown past	met	5
w7	d6	reject past	disown past	met	6
w2	d6	reject past	disown past	met	6
w4	d6	reject past	disown past	met	5
w10	d7	drink alcohol	abuse alcohol	met	4
w11	d7	drink alcohol	abuse alcohol	met	1
w1	d7	drink alcohol	abuse alcohol	met	3
w14	d7	drink alcohol	abuse alcohol	met	1
w17	d7	drink alcohol	abuse alcohol	met	6
w5	d7	drink alcohol	abuse alcohol	met	1
w13	d7	drink alcohol	abuse alcohol	met	1
w6	d7	drink alcohol	abuse alcohol	met	1
w8	d7	drink alcohol	abuse alcohol	met	1
w4	d7	drink alcohol	abuse alcohol	met	4
w12	d7	drink alcohol	abuse alcohol	met	2
w15	d7	drink alcohol	abuse alcohol	met	3
w2	d7	drink alcohol	abuse alcohol	met	5
w7	d7	drink alcohol	abuse alcohol	met	1
w9	d7	drink alcohol	abuse alcohol	met	2
w11	d8	pose question	frame question	met	2
w13	d8	pose question	frame question	met	1
w14	d8	pose question	frame question	met	1
w10	d8	pose question	frame question	met	5
w8	d8	pose question	frame question	met	1
w9	d8	pose question	frame question	met	4
w6	d8	pose question	frame question	met	4
w7	d8	pose question	frame question	met	2
w15	d8	pose question	frame question	met	3
w16	d8	pose question	frame question	met	6
w12	d8	pose question	frame question	met	4
w1	d8	pose question	frame question	met	5
w2	d8	pose question	frame question	met	5
w4	d8	pose question	frame question	met	3
w5	d8	pose question	frame question	met	3
w3	d9	stimulate debate	fuel debate	lit	1
w1	d9	stimulate debate	fuel debate	lit	4
w5	d9	stimulate debate	fuel debate	lit	1
w6	d9	stimulate debate	fuel debate	lit	1
w15	d9	stimulate debate	fuel debate	lit	2
w14	d9	stimulate debate	fuel debate	lit	1
w8	d9	stimulate debate	fuel debate	lit	1
w11	d9	stimulate debate	fuel debate	lit	1
w12	d9	stimulate debate	fuel debate	lit	2
w9	d9	stimulate debate	fuel debate	lit	3
w2	d9	stimulate debate	fuel debate	lit	5
w7	d9	stimulate debate	fuel debate	lit	2
w4	d9	stimulate debate	fuel debate	lit	2
w13	d9	stimulate debate	fuel debate	lit	1
w10	d9	stimulate debate	fuel debate	lit	5
w7	d10	understand meaning	grasp meaning	met	4
w11	d10	understand meaning	grasp meaning	met	2
w17	d10	understand meaning	grasp meaning	met	4
w12	d10	understand meaning	grasp meaning	met	5
w6	d10	understand meaning	grasp meaning	met	5
w5	d10	understand meaning	grasp meaning	met	2
w10	d10	understand meaning	grasp meaning	met	5
w14	d10	understand meaning	grasp meaning	met	3
w8	d10	understand meaning	grasp meaning	met	3
w13	d10	understand meaning	grasp meaning	met	1
w4	d10	understand meaning	grasp meaning	met	2
w15	d10	understand meaning	grasp meaning	met	3
w9	d10	understand meaning	grasp meaning	met	5
w1	d10	understand meaning	grasp meaning	met	5
w2	d10	understand meaning	grasp meaning	met	5
w6	d11	instill life	breathe life	met	3
w7	d11	instill life	breathe life	met	2
w18	d11	instill life	breathe life	met	5
w8	d11	instill life	breathe life	met	1
w14	d11	instill life	breathe life	met	1
w2	d11	instill life	breathe life	met	4
w9	d11	instill life	breathe life	met	3
w10	d11	instill life	breathe life	met	5
w15	d11	instill life	breathe life	met	4
w11	d11	instill life	breathe life	met	1
w4	d11	instill life	breathe life	met	4
w1	d11	instill life	breathe life	met	5
w13	d11	instill life	breathe life	met	4
w16	d11	instill life	breathe life	met	3
w12	d11	instill life	breathe life	met	3
w14	d12	pose question	frame question	met	3
w1	d12	pose question	frame question	met	5
w4	d12	pose question	frame question	met	3
w5	d12	pose question	frame question	met	2
w6	d12	pose question	frame question	met	5
w7	d12	pose question	frame question	met	5
w15	d12	pose question	frame question	met	4
w8	d12	pose question	frame question	met	1
w3	d12	pose question	frame question	met	2
w13	d12	pose question	frame question	met	4
w10	d12	pose question	frame question	met	4
w16	d12	pose question	frame question	met	5
w12	d12	pose question	frame question	met	2
w9	d12	pose question	frame question	met	2
w11	d12	pose question	frame question	met	3
w1	d13	instill life	breathe life	lit	5
w8	d13	instill life	breathe life	lit	1
w4	d13	instill life	breathe life	lit	3
w13	d13	instill life	breathe life	lit	2
w10	d13	instill life	breathe life	lit	5
w11	d13	instill life	breathe life	lit	1
w7	d13	instill life	breathe life	lit	3
w14	d13	instill life	breathe life	lit	1
w6	d13	instill life	breathe life	lit	5
w12	d13	instill life	breathe life	lit	5
w9	d13	instill life	breathe life	lit	1
w5	d13	instill life	breathe life	lit	1
w16	d13	instill life	breathe life	lit	6
w17	d13	instill life	breathe life	lit	2
w15	d13	instill life	breathe life	lit	4
w14	d14	cause excitement	stir excitement	met	1
w19	d14	cause excitement	stir excitement	met	4
