DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Discourse.MetLit	Abstr.all	Abstr.N	Abstr.V	Abstr.ADJ	Emotionality	Emotion	List.Words
d614	view represent	view reflect	met	lit	2.42	2.65	2.4	2.37	2.33	Joy	['regard', 'however', 'offered', 'can', 'be', 'not', 'however', 'offered', 'need', 'wide', 'volunteering', 'responses', 'questions', 'professionals', 'skills', 'incentive', 'disincentive', 'volunteers', 'promoting', 'supporting', 'ncvo', 'remit', 'consultation', 'professional', 'issue', 'promoting', 'volunteering', 'skills', 'roles', 'volunteers', 'ncvo', 'vcos', 'volunteers', 'professional', 'questions', 'whether', 'we', 'target', 'need', 'gain', 'remit', 'regard', 'consultation', 'targeting', 'incentive', 'volunteering', 'promoting', 'important', 'issue', 'people']
d257	corrupt mind	poison mind	lit	lit	2.34	2.61	2.49	2.13	2.3	Joy	['alice', 'concerned', 'delegation', 'instilling', 'fearsome', 'concerned', 'influence', 'task', 'people', 'potentially', 'harder', 'in', 'fully', 'young', 'over', 'concerned', 'fearsom', 'made', 'not', 'express', 'influence', 'bbc', 'ancient', 'culture', 'actor', 'accept', 'ancient', 'immaculate', 'vulnerable', 'fearsome', 'influence', 'vulnerable', 'values', 'culture', 'express', 'delegation', 'influence', 'values', 'culture', 'views', 'influence', 'concerned', 'fearsome', 'however', 'exert', 'influence', 'fearsome', 'concern', 'probably', 'however']
d668	practise profession	follow profession	lit	lit	2.57	2.86	1.77	2.18	2.31	Joy	['the', 'fore', 'new', 'doctor', 'pledge', 'eventual', 'rediscovery', 'consciousness', 'christians', 'declaration', 'world', 'war', 'world', 'medical', 'association', 'ethical', 'declaration', 'pledge', 'solemnly', 'christians', 'horror', 'rediscovery', 'immoral', 'consciousness', 'consecrate', 'immoral', 'ethical', 'consciousness', 'romans', 'christians', 'war', 'rediscovery', 'natural', 'law', 'ethics', 'war', 'christians', 'ethics', 'medical', 'association', 'however', 'argyments', 'hinted', 'fore', 'second', 'hoewever', 'natural', 'immoral', 'rights', 'pledge']
d714	factor affect	factor shape	lit	lit	2.34	2.44	2.65	1.91	2.05	Joy	['according', 'theorists', 'programs', 'studies', 'revealed', 'between', 'in', 'olson', 'learning', 'clearly', 'dependant', 'examples', 'programme', 'studies', 'rates', 'interfered', 'use', 'studies', 'constructivist', 'learning', 'socio-economic', 'political', 'programme', 'studies', 'literacy', 'theorists', 'revealed', 'indicate', 'political', 'obvious', 'theorists', 'opoposed', 'studies', 'constructivist', 'socio-economic', 'theorists', 'literacy', 'studies', 'rates', 'results', 'phenomenon', 'according', 'theorists', 'instruction', 'opposed', 'phenomenon', 'theorists', 'programmes', 'studies', 'excellent results']
d67	determine result	shape result	met	lit	2.89	3.68	2.34	2.2	2.46	Joy	['meaningful', 'gathering', 'subjected', 'violence', 'employement', 'low', 'jobs', 'and', 'children', 'most', 'women', 'children', 'suffer', 'wars', 'political', 'violence', 'employment', 'conflicts', 'subjected', 'contraints', 'subjected', 'violence', 'relatively', 'suffer', 'constraints', 'domestic', 'violence', 'employment', 'political', 'war', 'in', 'have', 'are', 'still', 'doing', 'africa', 'eight', 'hours', 'firewood', 'women', 'africa', 'meaningful', 'domestic', 'violence', 'employment', 'women', 'result', 'domestic', 'political', 'ethnic']
d291	painting represent	painting capture	lit	lit	2.81	3.29	3.37	2.03	2.43	Joy	['history', 'was', 'rebuilt', 'now', 'part', 'consecrated', 'historic', 'decoration', 'rebuilt', 'incomplete', 'consecrated', 'historic', 'rebuilt', 'design', 'difficulties', 'paintings', 'historic', 'chamber', 'conditions', 'decoration', 'place', 'rebuilt', 'panels', 'windows', 'paintings', 'consecrated', 'history', 'hail', 'worthy', 'scheme', 'consecrated', 'history', 'imagination', 'design', 'decoration', 'as', 'we', 'now', 'see', 'it', 'consecrated', 'historic', 'chamber', 'conditions', 'decorations', 'consecrated', 'imagination', 'see', 'worthy', 'fulfill']
d746	cause doubt	cast doubt	lit	met	3.26	3.4	3.19	2.36	2.57	Joy	['give', 'push', 'dragon', 'you', 'borrow', 'energy', 'dragon', 'outer', 'world', 'empowerment', 'think', 'energy', 'dragon', 'outer', 'empowerment', 'energy', 'outter', 'world', 'empowerment', 'dragon', 'dragon', 'energy', 'empowerment', 'unexhaustible', 'does', 'think', 'borrow', 'careful', 'dragon', 'empowerment', 'energy', 'inexhaustible', 'push', 'dragon', 'empowerment', 'inexhaustible', 'energy', 'empowerment', 'borrow', 'careful', 'think?', '?', 'careful', 'empower', '?', 'you', 'think', 'energy', 'push', 'dragon']
d941	story intrigue	story grab	lit	lit	2.7	3.99	1.63	2.29	2.51	Joy	['scarecrow', 'boy', 'servant', 'funny', 'animals', 'boys', 'is', 'it', 'about', 'who', 'recommend', 'interested', 'animals', 'war', 'title', 'recommend', 'philip', 'pullman', 'employs', 'title', 'recomend', 'stories', 'about', 'scarecrow', 'title', 'would', 'recommend', 'what', 'about', 'hence', 'animals', 'boys', 'girls', 'war', 'stories', 'recommend', 'interested', 'animals', 'philp', 'pullman', 'war', 'philp pullman', 'scarecrow', 'animals', 'funny', 'recommend', 'employs', 'tries', 'servant', 'title']
d678	war displace	war uproot	met	lit	2.51	2.44	2.62	2.62	2.31	Joy	['few', 'obtain', 'for', 'example', 'were', 'obtain', 'prospects', 'europe', 'discrimination', 'employment', 'prejudice', 'discrimination', 'facts', 'engineering', 'vocational', 'jewish', 'patterns', 'reality', 'engineering', 'degrees', 'reflected', 'example', 'compared', 'some', 'most', 'vocational', 'reality', 'engineering', 'discrimination', 'prejudice', 'vocational', 'prospects', 'american', 'europe', 'name', 'degrees', 'employment', 'names', 'chance', 'increase', 'vocational', 'reality', 'obtain', 'prospects', 'prejudice', 'jewish', 'vocational', 'predjudice', 'violent', 'antisemitism']
d507	cause doubt	cast doubt	lit	lit	2.51	2.53	2.11	2.69	2.18	Joy	['access', 'information', 'budgets', 'taken', 'brainwashing', 'control', 'from', 'full', 'would', 'seem', 'controll', 'access', 'media', 'exposure', 'sidelined', 'information', 'power', 'control', 'media', 'evolutionary', 'internet', 'bbc', 'evolution', 'creation', 'exposure', 'access', 'controlled', 'power', 'budgets', 'exposure', 'controlled', 'promote', 'evolutionary', 'compete', 'sidelined', 'power', 'control', 'promote', 'narrative', 'creationists', 'away', 'tv', 'control', 'media', 'brainwashing', 'access', 'power', 'control', 'access', 'information']
