DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit	Discourse.Median.MetLit	Discourse.MetLit
d1	experience freedom	taste freedom	met	lit	4.0	met
d4	decrease appetite	dull appetite	lit	lit	1.0	lit
d8	pose question	frame question	met	lit	3.0	lit
d13	instill life	breathe life	lit	met	3.0	lit
d17	attract worker	suck worker	lit	lit	2.0	lit
d21	recall feeling	recapture feeling	lit	lit	4.0	met
d22	decrease appetite	dull appetite	met	met	4.0	met
d23	improve economy	boost economy	lit	lit	4.0	met
d30	attract worker	suck worker	lit	lit	4.0	met
d38	get disease	catch disease	lit	met	4.0	met
d40	believe story	buy story	met	lit	4.0	met
d41	understand meaning	grasp meaning	lit	lit	5.0	met
d47	story intrigue	story grab	met	met	4.0	met
d49	urge someone	push someone	lit	lit	4.0	met
d53	painting represent	painting capture	met	met	4.0	met
d54	practise profession	follow profession	lit	lit	4.0	met
d59	experience freedom	taste freedom	lit	lit	5.0	met
d61	war displace	war uproot	lit	lit	4.0	met
d62	example show	example illustrate	met	met	5.0	met
d64	story intrigue	story grab	lit	lit	4.0	met
d66	make remark	throw remark	lit	lit	4.0	met
d69	practise profession	follow profession	met	lit	5.0	met
d72	instill life	breathe life	lit	met	4.0	met
d79	organise production	mount production	lit	lit	4.0	met
d80	painting represent	painting capture	met	met	5.0	met
d81	forget trouble	drown trouble	lit	lit	5.0	met
d82	story intrigue	story grab	met	lit	5.0	met
d85	moon appear	moon peep	lit	lit	5.0	met
d87	address question	tackle question	met	lit	5.0	met
d90	war displace	war uproot	lit	lit	4.5	met
d96	determine result	shape result	met	lit	4.0	met
d99	fate be	fate lie	lit	met	4.0	met
d105	cause excitement	stir excitement	met	met	4.0	met
d113	disclose report	leak report	met	met	5.0	met
d115	get disease	catch disease	met	met	4.0	met
d116	end agreement	break agreement	lit	met	4.0	met
d125	discuss idea	float idea	met	met	4.0	met
d131	forget trouble	drown trouble	met	met	5.0	met
d132	drink alcohol	abuse alcohol	met	met	4.0	met
d138	have smile	wear smile	lit	met	4.5	met
d142	organise production	mount production	met	lit	3.0	lit
d143	pose question	frame question	lit	lit	3.0	lit
d145	invest money	pour money	met	met	4.0	met
d147	determine result	shape result	met	lit	4.0	met
d148	experience freedom	taste freedom	lit	lit	4.0	met
d154	instill doubt	sow doubt	lit	lit	4.0	met
d157	tension increase	tension mount	met	met	4.0	met
d159	discuss idea	float idea	met	lit	4.0	met
d161	factor affect	factor shape	met	lit	3.0	lit
d162	end agreement	break agreement	met	met	5.0	met
d164	read book	devour book	lit	lit	4.0	met
d165	fate be	fate lie	lit	met	3.0	lit
d169	discuss idea	float idea	lit	lit	4.0	met
d186	factor affect	factor shape	lit	lit	3.0	lit
d192	affect judgement	colour judgement	met	met	4.0	met
d195	colour match	colour harmonise	lit	lit	4.0	met
d198	end agreement	break agreement	lit	lit	2.0	lit
d200	fire destroy	fire devour	met	lit	3.0	lit
d202	moon appear	moon peep	lit	lit	3.0	lit
d205	result appear	result emerge	met	met	3.0	lit
d208	result appear	result emerge	lit	met	3.0	lit
d211	affect judgement	colour judgement	met	lit	3.0	lit
d213	solve problem	attack problem	lit	lit	3.0	lit
d215	read book	devour book	lit	lit	3.0	lit
d216	tension increase	tension mount	lit	lit	4.0	met
d220	manage job	juggle job	lit	met	4.0	met
d221	cause doubt	cast doubt	met	met	4.0	met
d222	sell drug	push drug	met	lit	3.0	lit
d223	practise profession	follow profession	lit	lit	2.0	lit
d225	reject past	disown past	met	met	3.0	lit
d227	painting represent	painting capture	met	met	4.0	met
d229	make remark	throw remark	lit	lit	4.0	met
d231	painting represent	painting capture	met	met	4.0	met
d234	result appear	result emerge	met	met	3.0	lit
d236	recall feeling	recapture feeling	lit	lit	4.0	met
d238	misinterpret word	twist word	met	met	4.0	met
d239	urge someone	push someone	met	lit	3.0	lit
d240	have smile	wear smile	met	met	2.0	lit
d244	mess show	mess reflect	lit	lit	4.0	met
d247	experience freedom	taste freedom	met	lit	4.0	met
d248	solve problem	attack problem	met	lit	4.0	met
d252	example show	example illustrate	lit	met	2.0	lit
d258	fate be	fate lie	met	met	4.0	met
d266	affect judgement	colour judgement	lit	lit	2.5	lit
d272	read book	devour book	met	lit	4.0	met
d273	corrupt mind	poison mind	met	met	3.0	lit
d276	attract worker	suck worker	met	lit	2.5	lit
d278	determine result	shape result	met	met	3.0	lit
d280	misinterpret word	twist word	lit	lit	2.5	lit
d283	view represent	view reflect	lit	lit	3.0	lit
d290	stimulate debate	fuel debate	met	met	4.0	met
d293	organise production	mount production	lit	lit	3.0	lit
d294	distinction disappear	distinction blur	met	met	3.0	lit
d297	read book	devour book	met	lit	3.0	lit
d313	attract worker	suck worker	lit	lit	4.0	met
d315	result appear	result emerge	met	met	3.0	lit
d323	attract worker	suck worker	lit	lit	4.0	met
d327	sell drug	push drug	lit	lit	3.0	lit
d330	fire destroy	fire devour	met	met	4.0	met
d331	example show	example illustrate	lit	met	3.0	lit
d332	fate be	fate lie	met	met	4.0	met
d334	solve problem	attack problem	lit	lit	3.0	lit
d335	solve problem	attack problem	met	lit	3.0	lit
d336	make remark	throw remark	met	lit	3.0	lit
d339	misinterpret word	twist word	met	met	3.0	lit
d342	instill doubt	sow doubt	lit	lit	3.0	lit
d343	discuss idea	float idea	lit	lit	3.0	lit
d344	colour match	colour harmonise	lit	lit	3.0	lit
d345	manage job	juggle job	met	met	3.0	lit
d347	colour match	colour harmonise	lit	lit	3.0	lit
d350	invest money	pour money	met	lit	4.0	met
d352	moon appear	moon peep	met	lit	4.0	met
d354	fire destroy	fire devour	lit	lit	2.0	lit
d359	address question	tackle question	lit	lit	4.0	met
d360	story intrigue	story grab	lit	lit	4.0	met
d361	moon appear	moon peep	lit	lit	3.0	lit
d365	understand meaning	grasp meaning	met	lit	4.0	met
d370	cause excitement	stir excitement	lit	met	4.0	met
d372	result appear	result emerge	lit	lit	4.0	met
d374	fate be	fate lie	met	met	3.0	lit
d377	painting represent	painting capture	met	met	3.0	lit
d389	urge someone	push someone	lit	lit	4.0	met
d413	reject past	disown past	lit	met	3.0	lit
d416	painting represent	painting capture	lit	met	4.0	met
d421	fate be	fate lie	met	met	4.0	met
d422	experience freedom	taste freedom	lit	lit	3.0	lit
d423	fire destroy	fire devour	lit	lit	4.0	met
d425	cause doubt	cast doubt	met	met	3.5	met
d428	determine result	shape result	lit	lit	4.0	met
d429	forget trouble	drown trouble	met	met	4.0	met
d442	read book	devour book	lit	lit	4.0	met
d444	disclose report	leak report	lit	lit	3.0	lit
d452	address question	tackle question	met	lit	3.0	lit
d456	mess show	mess reflect	met	met	4.5	met
d457	cause doubt	cast doubt	met	met	4.0	met
d458	distinction disappear	distinction blur	met	met	2.5	lit
d466	distinction disappear	distinction blur	lit	lit	4.0	met
d467	stimulate debate	fuel debate	met	met	5.0	met
d470	urge someone	push someone	lit	lit	3.5	met
d471	practise profession	follow profession	met	met	3.0	lit
d474	improve economy	boost economy	met	met	3.0	lit
d475	affect judgement	colour judgement	met	lit	3.0	lit
d479	disclose report	leak report	lit	lit	3.0	lit
d481	tension increase	tension mount	met	met	3.0	lit
d482	colour match	colour harmonise	lit	lit	3.0	lit
d484	instill life	breathe life	lit	met	3.0	lit
d485	view represent	view reflect	lit	lit	4.0	met
d486	improve economy	boost economy	met	met	4.0	met
d487	colour match	colour harmonise	met	met	4.0	met
d488	understand meaning	grasp meaning	met	lit	3.0	lit
d492	get disease	catch disease	lit	lit	2.0	lit
d495	colour match	colour harmonise	lit	lit	4.0	met
d503	make remark	throw remark	lit	lit	3.0	lit
d508	instill doubt	sow doubt	met	lit	2.5	lit
d519	get disease	catch disease	lit	lit	4.0	met
d535	fate be	fate lie	met	met	4.0	met
d536	organise production	mount production	lit	lit	4.0	met
d543	disclose report	leak report	lit	lit	2.0	lit
d553	painting represent	painting capture	met	met	4.0	met
d557	result appear	result emerge	met	met	4.0	met
d560	cause doubt	cast doubt	met	met	3.0	lit
d566	address question	tackle question	lit	lit	3.5	met
d568	affect judgement	colour judgement	lit	lit	3.0	lit
d572	result appear	result emerge	lit	lit	3.5	met
d573	invest money	pour money	lit	lit	2.5	lit
d575	decrease appetite	dull appetite	lit	lit	3.0	lit
d576	experience freedom	taste freedom	lit	lit	3.5	met
d578	urge someone	push someone	lit	lit	3.0	lit
d582	organise production	mount production	met	lit	4.0	met
d585	cause doubt	cast doubt	met	met	4.0	met
d587	determine result	shape result	lit	lit	3.5	met
d592	distinction disappear	distinction blur	lit	lit	4.0	met
d593	have smile	wear smile	met	met	5.0	met
d597	war displace	war uproot	lit	lit	2.5	lit
d598	solve problem	attack problem	met	lit	4.0	met
d600	saturate market	flood market	met	met	3.5	met
d602	discuss idea	float idea	met	lit	4.0	met
d606	mess show	mess reflect	met	met	4.0	met
d609	cause excitement	stir excitement	met	met	4.0	met
d618	get disease	catch disease	met	met	3.0	lit
d622	decrease appetite	dull appetite	lit	lit	3.0	lit
d625	instill life	breathe life	met	met	3.5	met
d628	affect judgement	colour judgement	lit	lit	5.0	met
d631	solve problem	attack problem	lit	lit	4.0	met
d632	corrupt mind	poison mind	lit	lit	3.0	lit
d637	end agreement	break agreement	met	met	4.0	met
