DiscourseId	Discourse
d1	The fact that there's a lunar eclipse that day heightens that need. Indeed, it could be that your focus in the next fortnight (until the solar eclipse on 22nd) will be very strong indeed. True, this could be triggered by unexpected events on Monday which underline the need for change. And true, you've had several sidewinders thrust your way in recent years - and these haven't left you racing for more education. Now though, you may want to [...]
d2	This is a book of great depth that manages to combine a modern mystery with two completely different dimensions - one historical and one spiritual. Writing a good mystery is an art in itself. I've reviewed a lot of them and it takes a really good writer to make me care about the characters as people and to feel involved in their lives and their tribulations. Usually I read them in a detached way, assessing the characterization, setting, dialogue and so on. This [...]
d3	"We defend any conference which entails coordination, unanimity and consultation over security and stability in the region,"" he said as foreign ministers of Iran, Turkey, Syria, Jordan, Egypt and Saudi Arabia prepared to meet in Is tanbul ahead of another meeting of the same countries' heads of state. We hope that we would reach a common ground on regional security, not only restricted to Iraq, during the summit co nference which will be held after the foreign ministers' meeting in order to prove that regional issues have to be resolved by their people without need of outside interference,"" Khatami said. Turkey has invited the six countries to take part in the conference, aimed at finding a peaceful solution to the Ir aqi crisis amid US threats to oust Saddam Hussein. Article Index China Worried about Military Concentration in Gulf Area China is worried about the military concentra tion in the Gulf area, hoping that the Iraq issue be resolved through diplomatic and political means within the fra mework of the United Nations. Foreign Ministry spokeswoman Zhang Qiyue [...]"
d4	Hi lot's of people ask me about weight loss . I want to answer once for everyone In the context of physical health, weight loss is the process of losing body weight, typically by losing fat. To achieve weight loss, more calories must be expended than taken in. This can be achieved by reducing the amount of food consumed, increasing physical activity or a combination of the two. For healthy weight loss, most experts recommend a combination of healthy eating patterns and regular physical exercise. Other methods of losing weight include use of prescribed or herbal drugs or chemicals that [...]
d5	"What is more, they have retained their emotional, cultural and spiritual links with the country of their origin. This strikes a reciprocal chord in the hearts of people of India. Also, any longed-for return to the homeland now tends to be downplayed in favor of ideological identification or transnational practice that can link the scattered community with the homeland. Today, self-defined diasporas tend to find esteem - and a kind of strength-in-numbers - through using the term. This shift in the adoption and meaning of ""diaspora"" has undoubtedly caused some confusion and [...] "
d6	There is no end of it, the voiceless wailing, no end to the withering of withered flowers, to the movement of pain that is painless and motionless, to the drift of the sea and the drifting wreckage, the bone's prayer to Death its God. Only the hardly, barely prayable Prayer of the one Annunciation. It seems, as one becomes older, that the past has another pattern, and ceases to be a mere sequence- or even development: the latter a partial fallacy encouraged by superficial notions of evolution, which becomes, in the popular mind, a means of [...]
d7	Shifty's New Leaflet Shifty's is still able to offer workshops in Alcohol Awareness. They have a fun approach to learning and will tailor a session to the age and needs of the young people you are working with. Dawn and Andy have designed a new leaflet, which should have been sent out with Chatterbox to all schools, colleges and youth groups to remind everyone that the alcohol awareness workshops are still available. The project has been funded for a further period by The Big Lottery and we are keen to see lots of young people taking part and understanding the dangers that [...]
d8	Learning outcomes On completion of the course, you will have acquired appropriate practical skills and have a highly developed understanding of their application within your field. You will be able to create and sustain complex arts projects, informed by knowledge of developments at the forefront of your discipline, and develop and maintain arts projects with a high level of understanding of your own processes. You will be able to effectively manage and challenge the limits of your own learning. In addition you will have the ability to apply the methods and techniques that you have learned to review, consolidate, extend and apply your knowledge and understanding, and to initiate and carry out projects. You will also critically evaluate arguments, assumptions, abstract concepts and data (that may be incomplete), to make judgements, and to [...]
d9	A week later, loyalist paramilitaries shot dead seven people in a mainly Catholic pub close to the Waterside area of Derry/Londonderry. On the political front uncertainty reigned. Talks between the constitutional political parties in the province had broken down and the response of the republican and loyalist paramilitaries, and their associated political parties, to the Downing Street Declaration was not yet known when the fieldwork ended. The IRA and loyalist ceasefires were not, in fact, called until 31 August and 13 October 1994 respectively. These ceasefires [...]
d10	To the extent that such arguments have helped to temper the immediate American response and provide a rather different agenda for the 'war on terrorism', Blair should be credited for his efforts, not dismissed as Bush's poodle. Furthermore, on one level at least, the general argument for the construction of a meaningful global community that could establish new ways of working leading to the betterment of life for all is one that can hardly be faulted. While it may not preclude military action, neither does it look entirely incompatible with the slogan 'Justice not Vengeance'. But we should not forget that this was the architect of New Labour talking and New Labour is a particular configuration within European social democracy, which itself has been drastically 'modernised' over the last twenty years or so. What are the implications of this for [...]
d11	Aside from the campaign, there are loads of challenges to unlock and try to set high scores in - in fact this game reminds me a lot of the classic Goldeneye; you'll definitely find yourself going back to old missions and finding speedier routes to complete the mission in a set amount of time (which gives you yet another reward), using a certain amount of hotswaps (another reward), dying as little as you can (yep, another), and exceeding the accuracy standard (you guessed it!) If you enjoy the campaign - and if you are a fan of the FPS shooter genre - then I don't see how you could appreciate the genuine replay value; there's just so much to unlock and achieve, including a high rank similar to the one that you can achieve online. Battlefield 2: Modern Combat is simply a phenomenal experience, online and off, that should be played by any FPS fan, or just action game fans in general. If you're bored of the genre then this is the game you've been waiting for, as it [...]
d12	Much of the literature on unmediated, and therefore less 'expert' access to iconographical research collections assumes that searchers will have a hierarchy of more or less abstract 'keywords' for what they expect the image to contain. The analysis of the subject of images is, for most authors, based ultimately on Panofsky's pre-iconography/iconography/iconology schema or on Karen Markey's work on access to specialist picture collections, which draws upon it. The pessimistic conclusion of most researchers looking at this problem is that the burden of access will fall more heavily on the users, given the variability of subject cataloguing amongst diverse collections. For our purposes the principal weakness of these user studies is that they are of mediated searches, that it written or recollected queries given to an information manager. How, we must ask, do the image users themselves, the art historians, typically [...]
d13	This is probably not a name a lot of people will be familiar with, and I certainly was not when I first came across this album. First a few background details; as far as I can tell, the band are of French origin, though from what I can gather they are a collection of musicians from other bands, which I must confess I have not previously heard of - Kad and Tayfa. Interestingly, the lyrics are sung in the rather obscure French Breton dialect. This album is a concept, telling the story of a female stonecutter called Enora - who is able to [...]
d14	The Missouri River road brought Lewis and Clark (and Sacajawea) here; between July 16, 1805 and July 24 to be exact; their Journal entries tell us what they saw, what they did, and how they felt about it all. Lewis writes that they killed a buffalo near the river on July 16, and dined on it for breakfast. On the 17th he notes the sunflowers blooming abundantly in the river bottom. The next day he writes of his eagerness to meet up with the Shoshone as he hopes to get information from them. But it's the entry of July 19 that [...]
d15	This seminar will present the aims and methods of this major research network funded by the ESRC. The network is based around three research projects at the University of Leeds, the University of York, King's College London and the University of Southampton. Work has commenced this year and will continue to 2003. The major aim of the research network is to improve the interface between science education researchers and practitioners, particularly teachers, by developing and evaluating several examples of evidence-based practice, and by improving our understanding of the ways in which practitioners draw upon evidence in taking actions and making decisions. The first stage of project 3, a Delphi study exploring what should be taught about the nature of science, conducted at King's and Southampton has been completed and the [...]
d16	Can it use new and developing technologies to better effect? How can Parliament engage people at a local level? Is visiting Parliament a useful means to learn more about events that take place there? And how can Parliament better inform the public and young people about what it does? The following [...]
d17	The Royal Sovereign was thought to have sunk in the Mediterranean and the engine salvaged. The Lancaster's, the owners of the colliery, built Bestwood Colliery Village in 1876. The houses were some of the best in the East Midlands. A small front garden was complemented by a walled back garden. The Village [...]
d18	A recent UK government committee on the ethics of gene therapy concluded that germ line therapy was ethically unacceptable, but that somatic gene therapy could go ahead. The world's first somatic gene therapy trial in humans was carried out in 1990 on two young girls suffering from ADA deficiency, a very rare fatal genetic defect which meant they had virtually no immunity against infection. Today they are able to lead normal lives. There are now over 30 different clinical trials of gene therapy in the US, and the first trial in the UK was started earlier this year. In a recent national TV programme in the US, doctors [...]
d19	He offers a wager and they accept his challenge. The women are led to believe that the men have been called away on military service. It is, however, a test of the women's fidelity since the men reappear in disguise and proceed to woo the sisters. The women finally succumb to their advances, deciding, however, to swap fiances. The men are distraught but Don Alfonso [...]
d20	Constitutional Council bill passed The Assembly of the Republic on 21 October passed the second reading of an amended bill setting up a Constitutional Council. This is the body empowered to decide whether legislative and statutory acts of state bodies are in accordance with the constitution, to settle conflicts of competence between sovereign state bodies, and to supervise elections. It is the Constitutional Council that must take the final decisions on electoral complaints, and validate election results. The Constitutional Council will eventually have seven members - five elected by the Assembly, one appointed by the President of the Republic, and a seventh member chosen by the other six. All must possess law degrees, and [...]
