DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit	Discourse.Median.MetLit	Discourse.MetLit
d1	experience freedom	taste freedom	met	lit	4.0	met
d2	story intrigue	story grab	met	met	4.0	met
d3	make remark	throw remark	lit	lit	2.0	lit
d4	decrease appetite	dull appetite	lit	lit	1.0	lit
d5	stimulate debate	fuel debate	lit	met	4.0	met
d6	reject past	disown past	met	met	5.0	met
d7	drink alcohol	abuse alcohol	met	tie	2.0	lit
d8	pose question	frame question	met	lit	3.0	lit
d9	stimulate debate	fuel debate	lit	tie	2.0	lit
d10	understand meaning	grasp meaning	met	tie	4.0	met
d11	instill life	breathe life	met	met	3.5	met
d12	pose question	frame question	met	met	4.0	met
d13	instill life	breathe life	lit	met	3.0	lit
d14	cause excitement	stir excitement	met	met	3.0	lit
d15	result appear	result emerge	met	met	1.0	lit
d16	view represent	view reflect	lit	met	3.0	lit
d17	attract worker	suck worker	lit	lit	2.0	lit
d18	discuss idea	float idea	lit	-	2.0	lit
d19	urge someone	push someone	lit	lit	4.0	met
d20	practise profession	follow profession	lit	lit	1.0	lit
d21	recall feeling	recapture feeling	lit	lit	4.0	met
d22	decrease appetite	dull appetite	met	met	4.0	met
d23	improve economy	boost economy	lit	lit	4.0	met
d24	organise production	mount production	lit	lit	4.0	met
d25	pose question	frame question	met	lit	4.0	met
d26	pose question	frame question	met	lit	3.0	lit
d27	improve economy	boost economy	lit	lit	4.0	met
d28	saturate market	flood market	met	met	4.0	met
d29	recall feeling	recapture feeling	lit	lit	3.5	met
d30	attract worker	suck worker	lit	lit	4.0	met
d31	cause excitement	stir excitement	met	tie	4.0	met
d32	understand meaning	grasp meaning	met	lit	5.0	met
d33	result appear	result emerge	lit	lit	4.0	met
d34	drink alcohol	abuse alcohol	lit	tie	3.0	lit
d35	practise profession	follow profession	lit	tie	3.0	lit
d36	factor affect	factor shape	lit	lit	4.0	met
d37	practise profession	follow profession	lit	lit	3.5	met
d38	get disease	catch disease	lit	met	4.0	met
d39	drink alcohol	abuse alcohol	met	tie	5.0	met
d40	believe story	buy story	met	lit	4.0	met
d41	understand meaning	grasp meaning	lit	lit	5.0	met
d42	make remark	throw remark	met	met	4.0	met
d43	cause doubt	cast doubt	lit	met	4.0	met
d44	war displace	war uproot	met	lit	4.0	met
d45	drink alcohol	abuse alcohol	met	tie	4.0	met
d46	factor affect	factor shape	met	lit	4.0	met
d47	story intrigue	story grab	met	met	4.0	met
d48	address question	tackle question	met	lit	4.0	met
d49	urge someone	push someone	lit	lit	4.0	met
d50	determine result	shape result	lit	tie	5.0	met
d51	improve economy	boost economy	lit	lit	4.0	met
d52	misinterpret word	twist word	lit	lit	4.0	met
d53	painting represent	painting capture	met	met	4.0	met
d54	practise profession	follow profession	lit	lit	4.0	met
d55	end agreement	break agreement	lit	met	4.0	met
d56	disclose report	leak report	met	met	5.0	met
